"fips","state","mean_no2","mean_ozone"
1001,"AL",9.916815447,39.55775368
1003,"AL",11.09523765,40.28336005
1005,"AL",9.935083888,40.22745074
1007,"AL",7.832304963,38.37666164
1009,"AL",8.883647994,39.4513961
1011,"AL",7.385634809,40.1285494
1013,"AL",6.698572613,39.38752654
1015,"AL",9.960872714,39.55537158
1017,"AL",9.63076576,40.3144306
1019,"AL",8.65575617,40.9812822
1021,"AL",7.300690037,39.13674506
1023,"AL",6.703187578,37.65032259
1025,"AL",7.815250835,39.00350797
1027,"AL",6.631721345,39.75729941
1029,"AL",7.53553716,40.25202062
1031,"AL",7.975587665,39.72316354
1033,"AL",13.00719958,39.59549424
1035,"AL",7.676593652,39.54671929
1037,"AL",6.995570473,39.43332145
1039,"AL",7.973382351,39.71233997
1041,"AL",6.404773538,39.66020121
1043,"AL",10.61158859,40.01993019
1045,"AL",8.405515792,39.83476287
1047,"AL",9.55173208,39.23564288
1049,"AL",8.021784539,41.83932013
1051,"AL",9.423403675,39.71847871
1053,"AL",11.74514196,39.41296182
1055,"AL",10.17957959,40.34786159
1057,"AL",9.061465047,39.17286138
1059,"AL",7.072573936,39.65432422
1061,"AL",7.872396181,39.35714529
1063,"AL",11.63764361,38.49605658
1065,"AL",8.794042073,37.77787645
1067,"AL",7.245907162,39.73868985
1069,"AL",10.27936068,39.14286543
1071,"AL",7.075958582,41.85310029
1073,"AL",17.53592142,38.49245343
1075,"AL",6.929027014,38.95180278
1077,"AL",11.7409739,39.97565988
1079,"AL",9.337289758,40.47231465
1081,"AL",13.4005664,40.05210009
1083,"AL",13.78245882,40.48163066
1085,"AL",8.638920672,39.67128303
1087,"AL",9.988779226,39.90866033
1089,"AL",14.07955499,40.69892327
1091,"AL",8.878261628,38.54471944
1093,"AL",6.903371126,39.50978775
1095,"AL",9.424092678,41.33831186
1097,"AL",14.18843019,39.92292414
1099,"AL",8.550393872,38.84605863
1101,"AL",16.65847549,39.71716488
1103,"AL",10.95121065,41.0418632
1105,"AL",7.957688492,38.53682749
1107,"AL",7.210893226,38.42675749
1109,"AL",7.585742975,40.03621953
1111,"AL",6.745277041,40.51160303
1113,"AL",11.28227731,39.70528261
1115,"AL",11.76413066,38.9905199
1117,"AL",12.42351044,38.97193698
1119,"AL",8.833142787,37.91511945
1121,"AL",11.50949504,39.02476978
1123,"AL",8.266453092,39.81612649
1125,"AL",12.89054117,38.20542515
1127,"AL",9.72225768,39.19868046
1129,"AL",8.707435472,39.81092099
1131,"AL",7.951107757,39.36056947
1133,"AL",10.02324895,39.61352446
4001,"AZ",15.05789049,46.26904874
4003,"AZ",19.19160286,48.08658866
4005,"AZ",17.97132576,46.3166888
4007,"AZ",15.81800729,48.17148754
4009,"AZ",16.91293647,47.55587863
4011,"AZ",14.06942673,47.7059079
4012,"AZ",16.10932831,48.08270441
4013,"AZ",36.90863053,46.62916271
